"row ID","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_min","Cluster","Silhouette Coefficient"
"Row3",0.8462365979264634,0.8558113246738333,0.44972695879753993,0.018097196056092543,0.2728440500200418,0,0.07525402250554732,0.667911310092934,0.3914417124418319,0.4019637544127074,"cluster_4",0.09639731804752548
"Row7",0.36137887429238363,0.6214621532666519,0.44523568317116546,0.13144851279897693,0.4043523591840211,0.02671512733191477,0.33449134309338474,0.34665276002063977,0.34669233880800193,0.5841451864418671,"cluster_5",0.07736418024614117
"Row15",0.4097057593566502,0.3685843132604934,0.31507170419758734,0.16976130947679907,0.7416921554007982,0.7799385285434262,0.32620499696152266,0.32161066232559476,0.46140239281107215,0.3059477076244568,"cluster_1",0.3005004215779163
"Row16",0.663368176105268,0.8306740716360839,0.5687125757728526,0.04583905395037455,0.0641635548888038,0.06436781991477407,0.17756524249304917,0.6824687884372962,0.5163341024858636,0.2891642722979244,"cluster_4",0.1749297485596103
"Row18",1,0.9038958312661376,0.4347595329681265,0.13740863248037188,0.2720293379023947,0,0.37248682836906144,0.8161951080144004,0.4745072756064021,0.3741306129477683,"cluster_4",0.1778034093746304
"Row19",0.96516811822309,1,0.5524137078695027,0.08514562517268986,0.0570210682768213,0.43783975427602584,0.3660385161081978,0.7364607262439725,0.5469196032954831,0.3914115242216575,"cluster_4",0.23028961160736372
"Row22",0.33183435655539567,0.21276798920878529,0.3228425450950943,0.09442966569936734,0.8916395157991261,0.9476125620349531,0.16298096864364764,0.763858091352819,0.390798903546847,0.20843285509737458,"cluster_1",0.30005616067190183
"Row31",0.5982338089638076,0.7455686515635592,0.4689869845542196,0.009260710057710982,0.41925610323913526,0.05224954616684617,0.48518117255757137,0.6038206359256002,0.45531833721943743,0.37186645959761855,"cluster_5",0.1746337024851012
"Row33",0.6269419331569779,0.764556208709099,0.5788972514994445,0.04121243952620374,0.3916305393290824,0.06636035212398833,0.20795869522447094,0.49579189713145644,0.6767173500958474,0.33808274045468034,"cluster_5",0.021649408511500975
"Row37",0.5931197844074841,0.5160903637335514,0.5233781077984784,0.1853626439309215,0.5951984587618766,0.1695689724349849,0.4536956099486333,0.5357397626408271,0.37434540764004653,0.2388745563375566,"cluster_0",-0.06943272083159376
"Row45",0.5546429322084984,0.24287432005293524,0.9821785421558757,0.06693658210373103,0.6785195760646306,0.7033759518869602,0.44028805097211265,0.001889393903280412,0.3111252310082061,0.4728126205821106,"cluster_1",0.06068498981086421
"Row49",0.8481582406186103,0.7103306609045464,0.6884384690123652,0.48774002607668576,0.021132001825900748,0,0.021617400480353533,0.8147030401394079,0.5000109847940457,0.265530975850094,"cluster_3",0.07349684450286159
"Row50",0.5001684710539533,0.8235747641948046,0.5388318608536841,0.2066164390346061,0.15460970958292602,0.05193088914816567,0.2925626955034478,0.7654952823024782,0.43367847528731673,0.404240663556379,"cluster_4",0.07361530616536295
