"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",637,256,18818,289,0.6879049676025918,0.7133258678611423,0.6879049676025918,0.9865785886547133,0.7003848268279275,,
"rock",1636,1364,16447,553,0.7473732297852901,0.5453333333333333,0.7473732297852901,0.923418112402448,0.6305646560030834,,
"latin",13,20,19234,733,0.01742627345844504,0.3939393939393939,0.01742627345844504,0.9989612548041965,0.03337612323491656,,
"electronic",1292,875,17675,158,0.8910344827586207,0.5962159667743424,0.8910344827586207,0.9528301886792453,0.714404202377661,,
"classical",807,154,18945,94,0.8956714761376249,0.8397502601456815,0.8956714761376249,0.9919367506152155,0.8668098818474759,,
"jazz",880,61,19013,46,0.9503239740820735,0.9351753453772582,0.9503239740820735,0.9968019293278809,0.9426888055704339,,
"country",766,991,17922,321,0.7046918123275069,0.4359704040978941,0.7046918123275069,0.9476021783958124,0.5386779184247538,,
"folk",673,485,18788,54,0.9257221458046767,0.581174438687392,0.9257221458046767,0.9748352617651637,0.7140583554376657,,
"pop",2165,3410,13894,531,0.8030415430267063,0.3883408071748879,0.8030415430267063,0.8029357374017568,0.5235158989239512,,
"punk",1,2,19623,374,0.0026666666666666666,0.3333333333333333,0.0026666666666666666,0.9998980891719745,0.005291005291005292,,
"r&b",45,96,18635,1224,0.03546099290780142,0.3191489361702128,0.03546099290780142,0.9948748064705568,0.06382978723404256,,
"gospel",5,15,19623,357,0.013812154696132596,0.25,0.013812154696132596,0.9992361747632141,0.026178010471204185,,
"hip-hop",2232,253,17389,126,0.9465648854961832,0.8981891348088531,0.9465648854961832,0.9856592223103956,0.9217427214536444,,
"ambient",334,73,19382,211,0.6128440366972477,0.8206388206388207,0.6128440366972477,0.9962477512207659,0.7016806722689075,,
"blues",3,5,19653,339,0.008771929824561403,0.375,0.008771929824561403,0.9997456506256994,0.01714285714285714,,
"drum-and-bass",51,7,19620,322,0.13672922252010725,0.8793103448275862,0.13672922252010725,0.9996433484485657,0.2366589327146172,,
"indie",52,48,19234,666,0.07242339832869081,0.52,0.07242339832869081,0.9975106316772119,0.1271393643031785,,
"reggae",123,170,19287,420,0.2265193370165746,0.4197952218430034,0.2265193370165746,0.9912627846019427,0.2942583732057416,,
"k-pop",0,0,19088,912,0,,0,1,,,
"soul",0,0,19445,555,0,,0,1,,,
"Overall",,,,,,,,,,0.58575,0.5440237928329863
