"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",693,207,18867,233,0.7483801295896328,0.77,0.7483801295896328,0.989147530670022,0.7590361445783133,,
"rock",1740,829,16982,449,0.7948835084513477,0.6773063448812767,0.7948835084513477,0.9534557296053001,0.7313997477931905,,
"k-pop",83,89,18999,829,0.09100877192982457,0.48255813953488375,0.09100877192982457,0.995337384744342,0.15313653136531366,,
"latin",254,294,18960,492,0.34048257372654156,0.4635036496350365,0.34048257372654156,0.984730445621689,0.3925811437403401,,
"electronic",1254,307,18243,196,0.8648275862068966,0.803331197950032,0.8648275862068966,0.9834501347708895,0.8329458651610759,,
"soul",61,128,19317,494,0.10990990990990991,0.32275132275132273,0.10990990990990991,0.9934173309334019,0.16397849462365593,,
"classical",848,19,19080,53,0.9411764705882353,0.9780853517877739,0.9411764705882353,0.9990051835174616,0.9592760180995474,,
"jazz",886,11,19063,40,0.9568034557235421,0.987736900780379,0.9568034557235421,0.9994232987312572,0.9720241360394953,,
"country",775,662,18251,312,0.7129714811407544,0.5393180236604036,0.7129714811407544,0.9649976206841855,0.6141045958795562,,
"folk",657,127,19146,70,0.9037138927097662,0.8380102040816326,0.9037138927097662,0.993410470606548,0.8696227663798809,,
"pop",1887,1928,15376,809,0.6999258160237388,0.4946264744429882,0.6999258160237388,0.888580674988442,0.5796344647519582,,
"punk",175,84,19541,200,0.4666666666666667,0.6756756756756757,0.4666666666666667,0.9957197452229299,0.5520504731861199,,
"r&b",544,717,18014,725,0.42868400315208827,0.4314036478984933,0.42868400315208827,0.9617212108269714,0.4300395256916996,,
"gospel",64,96,19542,298,0.17679558011049723,0.4,0.17679558011049723,0.9951115184845707,0.24521072796934867,,
"hip-hop",2216,140,17502,142,0.9397794741306191,0.9405772495755518,0.9397794741306191,0.9920643917923138,0.9401781926177344,,
"ambient",508,34,19421,37,0.9321100917431193,0.9372693726937269,0.9321100917431193,0.9982523772809047,0.9346826126954921,,
"blues",118,109,19549,224,0.34502923976608185,0.5198237885462555,0.34502923976608185,0.9944551836402482,0.4147627416520211,,
"drum-and-bass",290,27,19600,83,0.7774798927613941,0.9148264984227129,0.7774798927613941,0.9986243440158965,0.8405797101449275,,
"indie",321,312,18970,397,0.44707520891364905,0.5071090047393365,0.44707520891364905,0.9838191059018774,0.4752035529237602,,
"reggae",223,283,19174,320,0.4106813996316759,0.4407114624505929,0.4106813996316759,0.9854551061314694,0.4251668255481411,,
"Overall",,,,,,,,,,0.67985,0.652057016448908
