"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",680,197,18877,246,0.734341252699784,0.7753705815279361,0.734341252699784,0.9896718045506973,0.7542983915696063,,
"rock",1707,785,17026,482,0.7798081315669255,0.684991974317817,0.7798081315669255,0.9559261130761889,0.7293313394573808,,
"k-pop",94,99,18989,818,0.10307017543859649,0.48704663212435234,0.10307017543859649,0.9948134953897737,0.17013574660633485,,
"latin",229,269,18985,517,0.306970509383378,0.4598393574297189,0.306970509383378,0.9860288771164434,0.36816720257234725,,
"electronic",1266,340,18210,184,0.8731034482758621,0.788293897882939,0.8731034482758621,0.9816711590296496,0.8285340314136125,,
"soul",61,154,19291,494,0.10990990990990991,0.2837209302325581,0.10990990990990991,0.9920802262792492,0.15844155844155844,,
"classical",830,18,19081,71,0.9211986681465039,0.9787735849056604,0.9211986681465039,0.9990575422797006,0.9491137793024585,,
"jazz",889,14,19060,37,0.9600431965442765,0.9844961240310077,0.9600431965442765,0.9992660165670546,0.9721159103335155,,
"country",739,642,18271,348,0.6798528058877645,0.5351194786386676,0.6798528058877645,0.9660550943795273,0.5988654781199352,,
"folk",665,129,19144,62,0.9147180192572214,0.8375314861460957,0.9147180192572214,0.9933066984901157,0.8744247205785667,,
"pop",1910,1983,15321,786,0.7084569732937686,0.49062419727716416,0.7084569732937686,0.8854022191400832,0.5797541356806799,,
"punk",172,92,19533,203,0.45866666666666667,0.6515151515151515,0.45866666666666667,0.995312101910828,0.5383411580594679,,
"r&b",562,701,18030,707,0.4428684003152088,0.444972288202692,0.4428684003152088,0.9625754097485452,0.4439178515007899,,
"gospel",57,80,19558,305,0.1574585635359116,0.41605839416058393,0.1574585635359116,0.9959262654038089,0.2284569138276553,,
"hip-hop",2228,157,17485,130,0.9448685326547922,0.9341719077568135,0.9448685326547922,0.9911007822242376,0.9394897744043854,,
"ambient",507,47,19408,38,0.9302752293577982,0.9151624548736462,0.9302752293577982,0.9975841685941917,0.9226569608735213,,
"blues",136,138,19520,206,0.39766081871345027,0.49635036496350365,0.39766081871345027,0.9929799572693051,0.44155844155844154,,
"drum-and-bass",293,31,19596,80,0.7855227882037533,0.904320987654321,0.7855227882037533,0.9984205431293626,0.8407460545193687,,
"indie",319,255,19027,399,0.44428969359331477,0.5557491289198606,0.44428969359331477,0.9867752307851883,0.4938080495356037,,
"reggae",233,292,19165,310,0.429097605893186,0.4438095238095238,0.429097605893186,0.9849925476692193,0.43632958801498134,,
"Overall",,,,,,,,,,0.67885,0.6508995841596069
