"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",677,209,18865,249,0.7311015118790497,0.7641083521444695,0.7311015118790497,0.989042675893887,0.7472406181015452,,
"rock",1711,986,16825,478,0.7816354499771585,0.6344086021505376,0.7816354499771585,0.9446409522205379,0.7003683995088006,,
"k-pop",33,35,19053,879,0.03618421052631579,0.4852941176470588,0.03618421052631579,0.9981663872590109,0.06734693877551022,,
"latin",178,189,19065,568,0.2386058981233244,0.48501362397820164,0.2386058981233244,0.9901838578996572,0.31985624438454624,,
"electronic",1269,405,18145,181,0.8751724137931034,0.7580645161290323,0.8751724137931034,0.978167115902965,0.8124199743918054,,
"soul",46,127,19318,509,0.08288288288288288,0.2658959537572254,0.08288288288288288,0.9934687580354847,0.12637362637362637,,
"classical",853,29,19070,48,0.946725860155383,0.9671201814058957,0.946725860155383,0.998481595895073,0.9568143578238923,,
"jazz",886,16,19058,40,0.9568034557235421,0.9822616407982262,0.9568034557235421,0.9991611617909196,0.9693654266958425,,
"country",790,726,18187,297,0.7267709291628335,0.521108179419525,0.7267709291628335,0.9616137048590916,0.6069919323857088,,
"folk",661,142,19131,66,0.9092159559834938,0.8231631382316313,0.9092159559834938,0.9926321797333056,0.8640522875816993,,
"pop",1889,2122,15182,807,0.7006676557863502,0.4709548740962354,0.7006676557863502,0.8773693943596856,0.5632920828984643,,
"punk",167,69,19556,208,0.44533333333333336,0.7076271186440678,0.44533333333333336,0.996484076433121,0.546644844517185,,
"r&b",457,619,18112,812,0.36012608353033887,0.4247211895910781,0.36012608353033887,0.9669531792216113,0.38976545842217486,,
"gospel",66,120,19518,296,0.18232044198895028,0.3548387096774194,0.18232044198895028,0.9938893981057134,0.24087591240875914,,
"hip-hop",2228,161,17481,130,0.9448685326547922,0.9326077856843867,0.9448685326547922,0.9908740505611608,0.9386981251316621,,
"ambient",493,28,19427,52,0.9045871559633027,0.946257197696737,0.9045871559633027,0.9985607812901568,0.924953095684803,,
"blues",83,65,19593,259,0.24269005847953215,0.5608108108108109,0.24269005847953215,0.9966934581340929,0.3387755102040816,,
"drum-and-bass",279,21,19606,94,0.7479892761394102,0.93,0.7479892761394102,0.9989300453456973,0.8291233283803865,,
"indie",299,321,18961,419,0.41643454038997213,0.482258064516129,0.41643454038997213,0.9833523493413546,0.4469357249626308,,
"reggae",236,309,19148,307,0.43462246777163904,0.43302752293577984,0.43462246777163904,0.9841188261294136,0.4338235294117647,,
"Overall",,,,,,,,,,0.66505,0.6353287070632657
