"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",649,188,18886,277,0.7008639308855291,0.7753882915173238,0.7008639308855291,0.990143651043305,0.7362450368689734,,
"rock",1774,886,16925,415,0.810415714938328,0.6669172932330827,0.810415714938328,0.9502554601089215,0.7316972571664261,,
"k-pop",36,48,19040,876,0.039473684210526314,0.42857142857142855,0.039473684210526314,0.9974853310980721,0.07228915662650602,,
"latin",182,193,19061,564,0.24396782841823056,0.48533333333333334,0.24396782841823056,0.9899761088604965,0.3247100802854594,,
"electronic",1247,381,18169,203,0.86,0.765970515970516,0.86,0.9794609164420485,0.8102664067576348,,
"soul",47,147,19298,508,0.08468468468468468,0.2422680412371134,0.08468468468468468,0.9924402159938287,0.12550066755674233,,
"classical",822,50,19049,79,0.9123196448390677,0.9426605504587156,0.9123196448390677,0.997382061888057,0.9272419627749576,,
"jazz",888,24,19050,38,0.958963282937365,0.9736842105263158,0.958963282937365,0.9987417426863794,0.9662676822633297,,
"country",764,734,18179,323,0.702851885924563,0.5100133511348465,0.702851885924563,0.9611907153809549,0.5911025145067698,,
"folk",662,145,19128,65,0.9105914718019257,0.8203221809169765,0.9105914718019257,0.9924765215586572,0.8631029986962191,,
"pop",1964,2154,15150,732,0.728486646884273,0.476930548810102,0.728486646884273,0.8755201109570042,0.5764602289404168,,
"punk",158,83,19542,217,0.42133333333333334,0.6556016597510373,0.42133333333333334,0.9957707006369427,0.5129870129870129,,
"r&b",485,624,18107,784,0.3821907013396375,0.43733092876465285,0.3821907013396375,0.9666862420586194,0.40790580319596303,,
"gospel",20,22,19616,342,0.055248618784530384,0.47619047619047616,0.055248618784530384,0.9988797229860474,0.09900990099009901,,
"hip-hop",2227,184,17458,131,0.9444444444444444,0.9236831190377437,0.9444444444444444,0.9895703434984695,0.9339484168588803,,
"ambient",472,55,19400,73,0.8660550458715597,0.8956356736242884,0.8660550458715597,0.9971729632485222,0.8805970149253732,,
"blues",90,60,19598,252,0.2631578947368421,0.6,0.2631578947368421,0.9969478075083935,0.36585365853658536,,
"drum-and-bass",284,40,19587,89,0.7613941018766756,0.8765432098765432,0.7613941018766756,0.9979619911346614,0.8149210903873745,,
"indie",323,311,18971,395,0.44986072423398327,0.5094637223974764,0.44986072423398327,0.9838709677419355,0.47781065088757396,,
"reggae",233,344,19113,310,0.429097605893186,0.4038128249566724,0.429097605893186,0.9823199876651076,0.41607142857142854,,
"Overall",,,,,,,,,,0.66635,0.6365511118789549
