"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"metal",677,191,18883,249,0.7311015118790497,0.7799539170506913,0.7311015118790497,0.9899863688791024,0.7547380156075809,,
"rock",1693,795,17016,496,0.7734125171311101,0.6804662379421221,0.7734125171311101,0.9553646622873505,0.7239683557836218,,
"k-pop",44,50,19038,868,0.04824561403508772,0.46808510638297873,0.04824561403508772,0.9973805532271585,0.08747514910536777,,
"latin",225,265,18989,521,0.30160857908847183,0.45918367346938777,0.30160857908847183,0.986236626155604,0.36407766990291257,,
"electronic",1256,340,18210,194,0.8662068965517241,0.7869674185463659,0.8662068965517241,0.9816711590296496,0.824688115561392,,
"soul",54,94,19351,501,0.0972972972972973,0.36486486486486486,0.0972972972972973,0.9951658524042171,0.15362731152204837,,
"classical",825,17,19082,76,0.9156492785793563,0.9798099762470309,0.9156492785793563,0.9991099010419394,0.9466437177280551,,
"jazz",891,11,19063,35,0.9622030237580994,0.9878048780487805,0.9622030237580994,0.9994232987312572,0.9748358862144421,,
"country",752,647,18266,335,0.6918123275068997,0.5375268048606148,0.6918123275068997,0.9657907259556918,0.6049879324215608,,
"folk",668,132,19141,59,0.9188445667125172,0.835,0.9188445667125172,0.9931510403154672,0.8749181401440733,,
"pop",1968,2183,15121,728,0.7299703264094956,0.47410262587328356,0.7299703264094956,0.8738441978733241,0.5748502994011976,,
"punk",181,81,19544,194,0.4826666666666667,0.6908396946564885,0.4826666666666667,0.9958726114649682,0.5682888540031398,,
"r&b",556,653,18078,713,0.438140267927502,0.4598842018196857,0.438140267927502,0.9651380065132668,0.44874899112187244,,
"gospel",64,83,19555,298,0.17679558011049723,0.43537414965986393,0.17679558011049723,0.9957735003564517,0.25147347740667975,,
"hip-hop",2226,163,17479,132,0.9440203562340967,0.9317706153202177,0.9440203562340967,0.9907606847296225,0.9378554876764272,,
"ambient",507,57,19398,38,0.9302752293577982,0.898936170212766,0.9302752293577982,0.9970701619121048,0.9143372407574392,,
"blues",137,132,19526,205,0.40058479532163743,0.5092936802973977,0.40058479532163743,0.9932851765184658,0.4484451718494271,,
"drum-and-bass",290,33,19594,83,0.7774798927613941,0.8978328173374613,0.7774798927613941,0.9983186426860957,0.8333333333333333,,
"indie",308,278,19004,410,0.42896935933147634,0.5255972696245734,0.42896935933147634,0.9855824084638523,0.47239263803680986,,
"reggae",217,256,19201,326,0.3996316758747698,0.4587737843551797,0.3996316758747698,0.9868427815182197,0.4271653543307086,,
"Overall",,,,,,,,,,0.67695,0.6483797066404845
