"row ID","Mean Silhouette Coefficient"
"cluster_1",0.16360897674617467
"cluster_2",0.2471331546653705
"cluster_3",0.14320457338603346
"cluster_0",0.3087622602313348
"cluster_4",0.14944577412684767
"Overall",0.1804914037698208
