"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1691,498,17040,771,0.6868399675060926,0.7724988579259936,0.6868399675060926,0.9716045159083134,0.7271554504407655,,
"latin",203,543,19012,242,0.45617977528089887,0.27211796246648795,0.45617977528089887,0.9722321656865252,0.3408900083963057,,
"country",735,352,18254,659,0.5272596843615495,0.6761729530818767,0.5272596843615495,0.981081371600559,0.592503022974607,,
"gospel",65,297,19559,79,0.4513888888888889,0.17955801104972377,0.4513888888888889,0.9850423045930701,0.25691699604743085,,
"hip-hop",2221,137,17527,115,0.9507705479452054,0.9418999151823579,0.9507705479452054,0.9922441123188406,0.9463144439710269,,
"blues",149,193,19512,146,0.5050847457627119,0.43567251461988304,0.5050847457627119,0.9902055315909668,0.46781789638932497,,
"classical",870,31,19075,24,0.9731543624161074,0.9655937846836848,0.9731543624161074,0.9983774730451167,0.9693593314763232,,
"ambient",519,26,19428,27,0.9505494505494505,0.9522935779816514,0.9505494505494505,0.9986635139302971,0.9514207149404217,,
"punk",209,166,19534,91,0.6966666666666667,0.5573333333333333,0.6966666666666667,0.9915736040609137,0.6192592592592593,,
"k-pop",147,765,18887,201,0.4224137931034483,0.1611842105263158,0.4224137931034483,0.9610726643598616,0.23333333333333334,,
"folk",663,64,19173,100,0.8689384010484927,0.9119669876203577,0.8689384010484927,0.9966730779227531,0.8899328859060402,,
"metal",656,270,18887,187,0.7781731909845789,0.7084233261339092,0.7781731909845789,0.9859059351673017,0.7416619559072923,,
"pop",1901,795,15333,1971,0.4909607438016529,0.7051186943620178,0.4909607438016529,0.9507068452380952,0.5788672350791717,,
"reggae",215,328,19238,219,0.49539170506912444,0.39594843462246776,0.49539170506912444,0.9832362261065113,0.44012282497441146,,
"electronic",1254,196,18285,265,0.825543120473996,0.8648275862068966,0.825543120473996,0.9893945132839133,0.8447288649376894,,
"soul",95,460,19216,229,0.2932098765432099,0.17117117117117117,0.2932098765432099,0.9766212644846514,0.2161547212741752,,
"r&b",568,701,18037,694,0.4500792393026941,0.44759653270291566,0.4500792393026941,0.9625893905432811,0.44883445278546025,,
"jazz",892,34,19065,9,0.9900110987791343,0.9632829373650108,0.9900110987791343,0.9982198020838787,0.9764641488779421,,
"drum-and-bass",310,63,19595,32,0.9064327485380117,0.8310991957104558,0.9064327485380117,0.9967951978838132,0.8671328671328671,,
"indie",312,406,19018,264,0.5416666666666666,0.43454038997214484,0.5416666666666666,0.9790980230642504,0.482225656877898,,
"Overall",,,,,,,,,,0.68375,0.6564367070442074
