"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1696,493,17042,769,0.6880324543610548,0.7747830059387848,0.6880324543610548,0.9718848018249215,0.7288354103996562,,
"latin",203,543,18991,263,0.4356223175965665,0.27211796246648795,0.4356223175965665,0.9722023139142009,0.334983498349835,,
"country",733,354,18265,648,0.5307748008689356,0.6743330266789328,0.5307748008689356,0.9809871636500349,0.5940032414910859,,
"gospel",69,293,19555,83,0.45394736842105265,0.19060773480662985,0.45394736842105265,0.9852378073357517,0.2684824902723736,,
"hip-hop",2221,137,17524,118,0.9495510902094912,0.9418999151823579,0.9495510902094912,0.9922427948587282,0.9457100276772408,,
"blues",155,187,19516,142,0.5218855218855218,0.45321637426900585,0.5218855218855218,0.9905090595340811,0.48513302034428796,,
"classical",866,35,19074,25,0.9719416386083053,0.9611542730299667,0.9719416386083053,0.9981684023235124,0.9665178571428572,,
"ambient",518,27,19427,28,0.9487179487179487,0.9504587155963303,0.9487179487179487,0.9986121106199239,0.9495875343721357,,
"punk",205,170,19535,90,0.6949152542372882,0.5466666666666666,0.6949152542372882,0.9913727480334941,0.6119402985074626,,
"k-pop",147,765,18895,193,0.4323529411764706,0.1611842105263158,0.4323529411764706,0.961088504577823,0.23482428115015974,,
"folk",667,60,19173,100,0.8696219035202086,0.9174690508940853,0.8696219035202086,0.9968803618780222,0.892904953145917,,
"metal",652,274,18889,185,0.7789725209080047,0.7041036717062635,0.7789725209080047,0.985701612482388,0.7396483267158254,,
"pop",1918,778,15332,1972,0.4930591259640103,0.7114243323442137,0.4930591259640103,0.9517070142768467,0.5824476161554812,,
"reggae",217,326,19232,225,0.49095022624434387,0.3996316758747698,0.49095022624434387,0.9833316290009203,0.44060913705583754,,
"electronic",1252,198,18283,267,0.8242264647794602,0.863448275862069,0.8242264647794602,0.9892862940317082,0.8433816099696868,,
"soul",89,466,19216,229,0.279874213836478,0.16036036036036036,0.279874213836478,0.9763235443552485,0.20389461626575028,,
"r&b",549,720,18044,687,0.4441747572815534,0.4326241134751773,0.4441747572815534,0.9616286506075463,0.4383233532934132,,
"jazz",893,33,19065,9,0.9900221729490022,0.9643628509719222,0.9900221729490022,0.9982720703738611,0.9770240700218817,,
"drum-and-bass",312,61,19595,32,0.9069767441860465,0.8364611260053619,0.9069767441860465,0.9968966218966219,0.8702928870292888,,
"indie",310,408,19019,263,0.5410122164048866,0.43175487465181056,0.5410122164048866,0.9789983013331961,0.48024786986831913,,
"Overall",,,,,,,,,,0.6836,0.6562548003904409
