"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1700,489,17000,811,0.6770211071286341,0.7766103243490178,0.6770211071286341,0.9720395677282864,0.7234042553191489,,
"latin",166,580,19049,205,0.4474393530997305,0.2225201072386059,0.4474393530997305,0.97045188241887,0.297224709042077,,
"country",772,315,18161,752,0.5065616797900262,0.7102115915363385,0.5065616797900262,0.9829508551634553,0.591344312523937,,
"gospel",2202,156,17538,104,0.9549002601908065,0.9338422391857506,0.9549002601908065,0.9911834520176331,0.9442538593481989,,
"hip-hop",144,198,19544,114,0.5581395348837209,0.42105263157894735,0.5581395348837209,0.9899706210110425,0.48,,
"blues",866,35,19073,26,0.9708520179372198,0.9611542730299667,0.9708520179372198,0.9981683064684949,0.965978806469604,,
"classical",515,30,19428,27,0.9501845018450185,0.944954128440367,0.9501845018450185,0.9984582176996608,0.9475620975160993,,
"ambient",190,185,19547,78,0.7089552238805971,0.5066666666666667,0.7089552238805971,0.9906243665112507,0.5909797822706065,,
"punk",1994,702,15046,2258,0.4689557855126999,0.7396142433234422,0.4689557855126999,0.9554229108458216,0.5739781232009211,,
"k-pop",669,58,19175,98,0.8722294654498044,0.9202200825309491,0.8722294654498044,0.9969843498154214,0.895582329317269,,
"folk",189,354,19264,193,0.49476439790575916,0.34806629834254144,0.49476439790575916,0.9819553471301866,0.40864864864864864,,
"metal",1243,207,18269,281,0.8156167979002624,0.8572413793103448,0.8156167979002624,0.9887962762502707,0.83591123066577,,
"pop",554,715,18040,691,0.44497991967871486,0.43656422379826637,0.44497991967871486,0.9618768328445748,0.4407319013524264,,
"reggae",289,429,19054,228,0.5589941972920697,0.4025069637883008,0.5589941972920697,0.9779808037776523,0.46801619433198377,,
"electronic",49,313,19590,48,0.5051546391752577,0.13535911602209943,0.5051546391752577,0.984273727578757,0.21350762527233114,,
"soul",893,33,19065,9,0.9900221729490022,0.9643628509719222,0.9900221729490022,0.9982720703738611,0.9770240700218817,,
"r&b",307,66,19599,28,0.9164179104477612,0.8230563002680965,0.9164179104477612,0.9966437833714722,0.8672316384180792,,
"jazz",100,812,18968,120,0.45454545454545453,0.10964912280701754,0.45454545454545453,0.958948432760364,0.17667844522968199,,
"drum-and-bass",87,468,19248,197,0.30633802816901406,0.15675675675675677,0.30633802816901406,0.9762629336579428,0.2073897497020262,,
"indie",630,296,18901,173,0.7845579078455791,0.6803455723542117,0.7845579078455791,0.9845809241027244,0.7287449392712552,,
"Overall",,,,,,,,,,0.67795,0.6493340870100727
