"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1701,488,17016,795,0.6814903846153846,0.7770671539515761,0.6814903846153846,0.9721206581352834,0.7261472785485592,,
"latin",183,563,19029,225,0.4485294117647059,0.2453083109919571,0.4485294117647059,0.9712637811351572,0.31715771230502604,,
"country",760,327,18206,707,0.5180640763462849,0.6991720331186753,0.5180640763462849,0.9823557977661469,0.5951448707909162,,
"gospel",56,306,19577,61,0.47863247863247865,0.15469613259668508,0.47863247863247865,0.9846099683146406,0.2338204592901879,,
"hip-hop",2208,150,17538,104,0.9550173010380623,0.9363867684478372,0.9550173010380623,0.9915196743554953,0.945610278372591,,
"blues",156,186,19536,122,0.5611510791366906,0.45614035087719296,0.5611510791366906,0.9905689078186797,0.5032258064516129,,
"classical",867,34,19075,24,0.9730639730639731,0.9622641509433962,0.9730639730639731,0.9982207336856979,0.9676339285714285,,
"ambient",519,26,19426,29,0.9470802919708029,0.9522935779816514,0.9470802919708029,0.9986633765165536,0.94967978042086,,
"punk",202,173,19539,86,0.7013888888888888,0.5386666666666666,0.7013888888888888,0.9912236201298701,0.6093514328808446,,
"k-pop",130,782,18939,149,0.4659498207885305,0.1425438596491228,0.4659498207885305,0.9603468383956189,0.218303946263644,,
"folk",668,59,19176,97,0.873202614379085,0.9188445667125172,0.873202614379085,0.9969326748115415,0.8954423592493298,,
"metal",633,293,18898,176,0.7824474660074165,0.683585313174946,0.7824474660074165,0.9847324266583294,0.7296829971181557,,
"pop",1965,731,15181,2123,0.4806751467710372,0.7288575667655787,0.4806751467710372,0.9540598290598291,0.5793042452830188,,
"reggae",200,343,19257,200,0.5,0.3683241252302026,0.5,0.9825,0.4241781548250265,,
"electronic",1251,199,18277,273,0.8208661417322834,0.8627586206896551,0.8208661417322834,0.9892292704048495,0.8412911903160727,,
"r&b",551,718,18027,704,0.43904382470119524,0.43420015760441294,0.43904382470119524,0.9616964523873033,0.436608557844691,,
"soul",88,467,19230,215,0.29042904290429045,0.15855855855855855,0.29042904290429045,0.9762908057064528,0.20512820512820515,,
"jazz",892,34,19065,9,0.9900110987791343,0.9632829373650108,0.9900110987791343,0.9982198020838787,0.9764641488779421,,
"drum-and-bass",307,66,19597,30,0.9109792284866469,0.8230563002680965,0.9109792284866469,0.9966434419976605,0.8647887323943662,,
"indie",301,417,19049,233,0.5636704119850188,0.4192200557103064,0.5636704119850188,0.9785780334942977,0.48083067092651754,,
"Overall",,,,,,,,,,0.6819,0.6539819656945146
