"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
669,205,18869,257,0.7224622030237581,0.7654462242562929,0.7224622030237581,0.9892523854461571,0.7433333333333334,,
1700,819,16992,489,0.7766103243490178,0.6748709805478365,0.7766103243490178,0.9540171803941384,0.7221750212404418,,
104,145,18943,808,0.11403508771929824,0.41767068273092367,0.11403508771929824,0.9924036043587594,0.17915590008613264,,
231,296,18958,515,0.3096514745308311,0.43833017077798864,0.3096514745308311,0.9846265711021086,0.36292223095051057,,
1226,314,18236,224,0.8455172413793104,0.7961038961038961,0.8455172413793104,0.9830727762803234,0.8200668896321072,,
60,130,19315,495,0.10810810810810811,0.3157894736842105,0.10810810810810811,0.9933144767292363,0.16107382550335572,,
854,25,19074,47,0.9478357380688124,0.9715585893060296,0.9478357380688124,0.9986910309440284,0.9595505617977528,,
886,13,19061,40,0.9568034557235421,0.985539488320356,0.9568034557235421,0.9993184439551221,0.970958904109589,,
759,666,18247,328,0.6982520699172033,0.5326315789473685,0.6982520699172033,0.9647861259451171,0.6042993630573248,,
665,137,19136,62,0.9147180192572214,0.8291770573566085,0.9147180192572214,0.9928916100243864,0.869849574885546,,
1925,2053,15251,771,0.7140207715133531,0.48391151332327803,0.7140207715133531,0.8813569116967175,0.5768654480071921,,
158,81,19544,217,0.42133333333333334,0.6610878661087866,0.42133333333333334,0.9958726114649682,0.5146579804560261,,
510,629,18102,759,0.40189125295508277,0.44776119402985076,0.40189125295508277,0.9664193048956276,0.42358803986710963,,
53,80,19558,309,0.1464088397790055,0.39849624060150374,0.1464088397790055,0.9959262654038089,0.21414141414141413,,
2233,157,17485,125,0.946988973706531,0.9343096234309624,0.946988973706531,0.9911007822242376,0.9406065711878686,,
506,30,19425,39,0.9284403669724771,0.9440298507462687,0.9284403669724771,0.9984579799537394,0.9361702127659575,,
130,107,19551,212,0.38011695906432746,0.5485232067510548,0.38011695906432746,0.9945569233899685,0.44905008635578586,,
289,31,19596,84,0.774798927613941,0.903125,0.774798927613941,0.9984205431293626,0.8340548340548339,,
325,287,18995,393,0.45264623955431754,0.5310457516339869,0.45264623955431754,0.9851156519033295,0.4887218045112782,,
226,286,19171,317,0.4162062615101289,0.44140625,0.4162062615101289,0.985300919977386,0.4284360189573459,,
,,,,,,,,,0.67545,0.6470440974953597
