"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
644,221,18853,282,0.6954643628509719,0.7445086705202312,0.6954643628509719,0.9884135472370766,0.7191513121161363,,
1712,1028,16783,477,0.7820922795797167,0.6248175182481752,0.7820922795797167,0.9422828589074168,0.6946642320957598,,
12,28,19060,900,0.013157894736842105,0.3,0.013157894736842105,0.9985331098072087,0.025210084033613443,,
181,183,19071,565,0.24262734584450402,0.49725274725274726,0.24262734584450402,0.9904954814583983,0.3261261261261261,,
1257,392,18158,193,0.8668965517241379,0.7622801697998787,0.8668965517241379,0.9788679245283018,0.8112294288480153,,
15,37,19408,540,0.02702702702702703,0.28846153846153844,0.02702702702702703,0.9980971972229364,0.04942339373970346,,
851,19,19080,50,0.9445061043285239,0.9781609195402299,0.9445061043285239,0.9990051835174616,0.961038961038961,,
885,14,19060,41,0.9557235421166307,0.9844271412680756,0.9557235421166307,0.9992660165670546,0.9698630136986301,,
768,695,18218,319,0.7065317387304508,0.5249487354750513,0.7065317387304508,0.9632527890868715,0.6023529411764706,,
676,153,19120,51,0.9298486932599724,0.8154402895054282,0.9298486932599724,0.9920614330929279,0.8688946015424165,,
1971,2320,14984,725,0.7310830860534124,0.45933348869727336,0.7310830860534124,0.8659269533055941,0.5641906397595534,,
110,45,19580,265,0.29333333333333333,0.7096774193548387,0.29333333333333333,0.9977070063694268,0.4150943396226416,,
497,670,18061,772,0.39164696611505123,0.4258783204798629,0.39164696611505123,0.9642304201590945,0.4080459770114943,,
57,89,19549,305,0.1574585635359116,0.3904109589041096,0.1574585635359116,0.9954679702617375,0.22440944881889763,,
2235,199,17443,123,0.9478371501272265,0.918241577649959,0.9478371501272265,0.9887200997619318,0.932804674457429,,
504,32,19423,41,0.9247706422018349,0.9402985074626866,0.9247706422018349,0.998355178617322,0.9324699352451434,,
69,65,19593,273,0.20175438596491227,0.5149253731343284,0.20175438596491227,0.9966934581340929,0.28991596638655465,,
263,36,19591,110,0.7050938337801609,0.8795986622073578,0.7050938337801609,0.9981657920211953,0.7827380952380953,,
286,291,18991,432,0.3983286908077994,0.49566724436741766,0.3983286908077994,0.9849082045430972,0.44169884169884166,,
211,279,19178,332,0.3885819521178637,0.4306122448979592,0.3885819521178637,0.9856606876702472,0.4085188770571152,,
,,,,,,,,,0.6602,0.6292763347770963
