"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
643,205,18869,283,0.6943844492440605,0.7582547169811321,0.6943844492440605,0.9892523854461571,0.7249154453213077,,
1703,1277,16534,486,0.7779808131566925,0.5714765100671141,0.7779808131566925,0.9283027342653416,0.6589282259624686,,
5,17,19071,907,0.005482456140350877,0.22727272727272727,0.005482456140350877,0.9991093880972338,0.010706638115631691,,
57,64,19190,689,0.07640750670241286,0.47107438016528924,0.07640750670241286,0.9966760153734289,0.1314878892733564,,
1258,501,18049,192,0.8675862068965517,0.7151790790221717,0.8675862068965517,0.9729919137466307,0.7840448737924587,,
10,22,19423,545,0.018018018018018018,0.3125,0.018018018018018018,0.9988686037541784,0.034071550255536626,,
816,57,19042,85,0.9056603773584906,0.9347079037800687,0.9056603773584906,0.9970155505523849,0.9199549041713642,,
884,17,19057,42,0.9546436285097192,0.9811320754716981,0.9546436285097192,0.9991087344028521,0.9677066228790367,,
809,909,18004,278,0.7442502299908004,0.4708963911525029,0.7442502299908004,0.9519378205467139,0.5768270944741534,,
672,142,19131,55,0.9243466299862448,0.8255528255528255,0.9243466299862448,0.9926321797333056,0.872160934458144,,
1965,2620,14684,731,0.7288575667655787,0.42857142857142855,0.7288575667655787,0.8485899214054554,0.5397610218376596,,
118,43,19582,257,0.31466666666666665,0.7329192546583851,0.31466666666666665,0.9978089171974522,0.44029850746268656,,
324,576,18155,945,0.2553191489361702,0.36,0.2553191489361702,0.969248838823341,0.29875518672199164,,
38,70,19568,324,0.10497237569060773,0.35185185185185186,0.10497237569060773,0.9964354822283328,0.16170212765957445,,
2233,198,17444,125,0.946988973706531,0.918552036199095,0.946988973706531,0.988776782677701,0.9325537690540823,,
464,64,19391,81,0.8513761467889909,0.8787878787878788,0.8513761467889909,0.9967103572346441,0.8648648648648648,,
49,54,19604,293,0.14327485380116958,0.47572815533980584,0.14327485380116958,0.9972530267575542,0.22022471910112362,,
254,22,19605,119,0.6809651474530831,0.9202898550724637,0.6809651474530831,0.9988790951240638,0.7827426810477657,,
174,259,19023,544,0.24233983286908078,0.4018475750577367,0.24233983286908078,0.9865677834249559,0.3023457862728062,,
182,225,19232,361,0.3351749539594843,0.44717444717444715,0.3351749539594843,0.9884360384437477,0.3831578947368421,,
,,,,,,,,,0.6329,0.5984026808497216
