"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
660,296,18778,266,0.712742980561555,0.6903765690376569,0.712742980561555,0.9844814931320122,0.7013815090329436,,
1625,1172,16639,564,0.7423481041571494,0.5809796210225241,0.7423481041571494,0.9341979675481444,0.6518251103088647,,
1257,748,17802,193,0.8668965517241379,0.626932668329177,0.8668965517241379,0.9596765498652291,0.7276410998552822,,
3,48,19397,552,0.005405405405405406,0.058823529411764705,0.005405405405405406,0.9975314991000257,0.009900990099009901,,
819,177,18922,82,0.9089900110987791,0.822289156626506,0.9089900110987791,0.9907324990837216,0.8634686346863468,,
828,136,18938,98,0.8941684665226782,0.8589211618257261,0.8941684665226782,0.9928698752228164,0.8761904761904762,,
729,1044,17869,358,0.6706531738730451,0.41116751269035534,0.6706531738730451,0.9447998731031566,0.5097902097902098,,
649,282,18991,78,0.8927097661623109,0.6970998925886144,0.8927097661623109,0.9853681315830436,0.7828709288299156,,
2067,3310,13994,629,0.7666913946587537,0.38441510135763435,0.7666913946587537,0.8087147480351364,0.5120772946859903,,
1,0,19625,374,0.0026666666666666666,1,0.0026666666666666666,1,0.005319148936170213,,
164,316,18415,1105,0.12923561859732072,0.3416666666666667,0.12923561859732072,0.9831295712989162,0.18753573470554602,,
0,1,19637,362,0,0,0,0.9999490783175476,,,
2181,284,17358,177,0.9249363867684478,0.884787018255578,0.9249363867684478,0.9839020519215509,0.9044163383786026,,
291,76,19379,254,0.5339449541284403,0.7929155313351499,0.5339449541284403,0.9960935492161398,0.6381578947368421,,
3,3,19655,339,0.008771929824561403,0.5,0.008771929824561403,0.9998473903754197,0.017241379310344827,,
64,9,19618,309,0.17158176943699732,0.8767123287671232,0.17158176943699732,0.9995414480052989,0.28699551569506726,,
78,85,19197,640,0.10863509749303621,0.4785276073619632,0.10863509749303621,0.9955917435950628,0.17707150964812712,,
175,419,19038,368,0.32228360957642727,0.2946127946127946,0.32228360957642727,0.9784653338130236,0.30782761653474056,,
0,0,19088,912,0,,0,1,,,
0,0,19254,746,0,,0,1,,,
,,,,,,,,,0.5797,0.5382267815573741
