"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
664,242,18832,262,0.7170626349892009,0.7328918322295805,0.7170626349892009,0.9873125720876585,0.7248908296943232,,
1761,1146,16665,428,0.8044769301050708,0.6057791537667698,0.8044769301050708,0.9356577395991241,0.6911302982731554,,
6,8,19080,906,0.006578947368421052,0.42857142857142855,0.006578947368421052,0.9995808885163453,0.012958963282937365,,
65,69,19185,681,0.0871313672922252,0.48507462686567165,0.0871313672922252,0.9964163290744781,0.14772727272727273,,
1262,556,17994,188,0.8703448275862069,0.6941694169416942,0.8703448275862069,0.9700269541778975,0.7723378212974297,,
4,31,19414,551,0.007207207207207207,0.11428571428571428,0.007207207207207207,0.9984057598354332,0.013559322033898306,,
805,78,19021,96,0.8934517203107658,0.9116647791619479,0.8934517203107658,0.9959160165453689,0.9024663677130044,,
874,43,19031,52,0.9438444924406048,0.9531079607415486,0.9438444924406048,0.9977456223130964,0.9484536082474228,,
838,1046,17867,249,0.7709291628334867,0.4447983014861996,0.7709291628334867,0.9446941257336223,0.564119824974756,,
662,146,19127,65,0.9105914718019257,0.8193069306930693,0.9105914718019257,0.992424635500441,0.8625407166123777,,
2037,2809,14495,659,0.7555637982195845,0.42034667767230705,0.7555637982195845,0.837667591308368,0.5401750198886236,,
36,12,19613,339,0.096,0.75,0.096,0.9993885350318471,0.17021276595744683,,
238,512,18219,1031,0.1875492513790386,0.31733333333333336,0.1875492513790386,0.9726656345096364,0.23576027736503222,,
1,4,19634,361,0.0027624309392265192,0.2,0.0027624309392265192,0.9997963132701905,0.005449591280653952,,
2241,227,17415,117,0.950381679389313,0.9080226904376013,0.950381679389313,0.9871329781203945,0.9287194363862412,,
439,77,19378,106,0.8055045871559633,0.8507751937984496,0.8055045871559633,0.9960421485479312,0.827521206409048,,
21,17,19641,321,0.06140350877192982,0.5526315789473685,0.06140350877192982,0.9991352121273782,0.11052631578947368,,
150,8,19619,223,0.40214477211796246,0.9493670886075949,0.40214477211796246,0.9995923982269322,0.5649717514124293,,
211,311,18971,507,0.2938718662952646,0.4042145593869732,0.2938718662952646,0.9838709677419355,0.34032258064516124,,
118,225,19232,425,0.21731123388581952,0.34402332361516036,0.21731123388581952,0.9884360384437477,0.2663656884875847,,
,,,,,,,,,0.62165,0.5853462334291928
