"TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
690,184,18890,236,0.7451403887688985,0.7894736842105263,0.7451403887688985,0.9903533605955751,0.7666666666666667,,
1697,712,17099,492,0.7752398355413431,0.7044416770444167,0.7752398355413431,0.9600247038347088,0.7381470204436712,,
147,167,18921,765,0.1611842105263158,0.4681528662420382,0.1611842105263158,0.9912510477787091,0.2398042414355628,,
242,276,18978,504,0.32439678284182305,0.4671814671814672,0.32439678284182305,0.9856653162979121,0.38291139240506333,,
1251,288,18262,199,0.8627586206896551,0.8128654970760234,0.8627586206896551,0.9844743935309973,0.8370692539310806,,
82,178,19267,473,0.14774774774774774,0.3153846153846154,0.14774774774774774,0.990845975829262,0.20122699386503068,,
858,22,19077,43,0.9522752497225305,0.975,0.9522752497225305,0.998848107230745,0.9635036496350364,,
888,9,19065,38,0.958963282937365,0.9899665551839465,0.958963282937365,0.9995281535073922,0.9742183214481623,,
732,594,18319,355,0.6734130634774609,0.5520361990950227,0.6734130634774609,0.9685930312483477,0.6067136344799006,,
669,114,19159,58,0.9202200825309491,0.8544061302681992,0.9202200825309491,0.9940849893633581,0.8860927152317881,,
1900,1883,15421,796,0.7047477744807121,0.5022468939994713,0.7047477744807121,0.8911812297734628,0.5865102639296187,,
212,100,19525,163,0.5653333333333334,0.6794871794871795,0.5653333333333334,0.9949044585987261,0.6171761280931587,,
574,696,18035,695,0.4523246650906225,0.4519685039370079,0.4523246650906225,0.962842346911537,0.4521465143757385,,
81,96,19542,281,0.22375690607734808,0.4576271186440678,0.22375690607734808,0.9951115184845707,0.30055658627087195,,
2230,147,17495,128,0.9457167090754877,0.9381573411863694,0.9457167090754877,0.9916676113819295,0.941921858500528,,
513,26,19429,32,0.9412844036697248,0.9517625231910947,0.9412844036697248,0.9986635826265742,0.9464944649446494,,
155,141,19517,187,0.45321637426900585,0.5236486486486487,0.45321637426900585,0.9928273476447248,0.4858934169278997,,
303,40,19587,70,0.8123324396782842,0.8833819241982507,0.8123324396782842,0.9979619911346614,0.8463687150837989,,
330,266,19016,388,0.4596100278551532,0.5536912751677853,0.4596100278551532,0.9862047505445494,0.502283105022831,,
233,274,19183,310,0.429097605893186,0.45956607495069035,0.429097605893186,0.9859176645937194,0.4438095238095238,,
,,,,,,,,,0.68935,0.6627144148364769
