"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1695,494,16946,865,0.662109375,0.7743261763362266,0.662109375,0.9716743119266055,0.7138344914718888,,
"latin",134,612,19093,161,0.4542372881355932,0.17962466487935658,0.4542372881355932,0.9689418929205785,0.25744476464937555,,
"country",785,302,18078,835,0.4845679012345679,0.7221711131554738,0.4845679012345679,0.9835690968443961,0.5799778352419653,,
"gospel",2196,162,17544,98,0.9572798605056669,0.9312977099236641,0.9572798605056669,0.9908505591324974,0.944110060189166,,
"hip-hop",69,486,19281,164,0.296137339055794,0.12432432432432433,0.296137339055794,0.9754135680679921,0.1751269035532995,,
"blues",866,35,19072,27,0.9697648376259799,0.9611542730299667,0.9697648376259799,0.9981682106034437,0.9654403567447046,,
"classical",514,31,19428,27,0.9500924214417745,0.9431192660550459,0.9500924214417745,0.9984069068297446,0.9465930018416208,,
"ambient",128,214,19559,99,0.5638766519823789,0.3742690058479532,0.5638766519823789,0.9891771607747939,0.4499121265377856,,
"punk",187,188,19545,80,0.700374531835206,0.49866666666666665,0.700374531835206,0.9904728120407439,0.5825545171339563,,
"k-pop",2023,673,14856,2448,0.4524714828897338,0.7503709198813057,0.4524714828897338,0.9566617296670745,0.5645318822380354,,
"folk",668,59,19170,103,0.8664072632944229,0.9188445667125172,0.8664072632944229,0.99693171771803,0.8918558077436582,,
"metal",194,349,19253,204,0.48743718592964824,0.3572744014732965,0.48743718592964824,0.9821956943169065,0.412327311370882,,
"pop",1234,216,18265,285,0.8123765635286373,0.8510344827586207,0.8123765635286373,0.9883123207618635,0.8312563152576625,,
"reggae",536,733,18054,677,0.44187963726298435,0.4223798266351458,0.44187963726298435,0.9609836589130782,0.43190975020145045,,
"electronic",28,334,19611,27,0.509090909090909,0.07734806629834254,0.509090909090909,0.9832539483579844,0.13429256594724218,,
"soul",891,35,19065,9,0.99,0.9622030237580994,0.99,0.9981675392670157,0.9759036144578314,,
"r&b",301,72,19599,28,0.9148936170212766,0.806970509383378,0.9148936170212766,0.9963397895378985,0.8575498575498575,,
"jazz",278,440,19057,225,0.5526838966202783,0.3871866295264624,0.5526838966202783,0.9774324255013592,0.4553644553644554,,
"drum-and-bass",593,333,18906,168,0.7792378449408672,0.6403887688984882,0.7792378449408672,0.9826914080773429,0.7030231179608774,,
"indie",72,840,19010,78,0.48,0.07894736842105263,0.48,0.9576826196473551,0.13559322033898302,,
"Overall",,,,,,,,,,0.6696,0.6397422177838162
