"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1678,511,16887,924,0.6448885472713297,0.7665600730927364,0.6448885472713297,0.970628807908955,0.7004800667919014,,
"latin",83,663,19168,86,0.4911242603550296,0.11126005361930295,0.4911242603550296,0.9665674953355857,0.1814207650273224,,
"country",803,284,17996,917,0.46686046511627904,0.7387304507819688,0.46686046511627904,0.9844638949671772,0.5721410758817242,,
"gospel",2050,646,14512,2792,0.42337876910367617,0.7603857566765578,0.42337876910367617,0.9573822404011083,0.543910851684797,,
"hip-hop",2189,169,17540,102,0.9554779572239197,0.9283290924512299,0.9554779572239197,0.9904568298605229,0.9417078941707895,,
"blues",859,42,19074,25,0.9717194570135747,0.9533851276359601,0.9717194570135747,0.9978028876333961,0.9624649859943977,,
"classical",515,30,19427,28,0.9484346224677717,0.944954128440367,0.9484346224677717,0.9984581384591664,0.9466911764705882,,
"ambient",111,231,19582,76,0.5935828877005348,0.32456140350877194,0.5935828877005348,0.9883409882400445,0.41965973534971646,,
"punk",555,371,18919,155,0.7816901408450704,0.5993520518358532,0.7816901408450704,0.9807672369103162,0.6784841075794621,,
"k-pop",667,60,19162,111,0.8573264781491002,0.9174690508940853,0.8573264781491002,0.9968785766309437,0.8863787375415283,,
"folk",189,354,19247,210,0.47368421052631576,0.34806629834254144,0.47368421052631576,0.981939696954237,0.40127388535031844,,
"metal",1206,244,18263,287,0.8077695914266577,0.8317241379310345,0.8077695914266577,0.9868157994272437,0.819571865443425,,
"pop",504,765,18047,684,0.42424242424242425,0.3971631205673759,0.42424242424242425,0.9593344673612588,0.4102564102564103,,
"reggae",892,34,19065,9,0.9900110987791343,0.9632829373650108,0.9900110987791343,0.9982198020838787,0.9764641488779421,,
"electronic",295,78,19597,30,0.9076923076923077,0.7908847184986595,0.9076923076923077,0.9960355781448539,0.8452722063037249,,
"soul",51,504,19330,115,0.3072289156626506,0.0918918918918919,0.3072289156626506,0.9745890894423717,0.14147018030513175,,
"r&b",263,455,19055,227,0.536734693877551,0.36629526462395545,0.536734693877551,0.9766786263454639,0.43543046357615894,,
"jazz",174,201,19555,70,0.7131147540983607,0.464,0.7131147540983607,0.9898258756833367,0.5621970920840065,,
"drum-and-bass",22,890,19058,30,0.4230769230769231,0.02412280701754386,0.4230769230769231,0.9553839983958291,0.04564315352697095,,
"indie",7,355,19629,9,0.4375,0.019337016574585635,0.4375,0.9822357886309048,0.037037037037037035,,
"Overall",,,,,,,,,,0.65565,0.6237018783677216
