"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1660,529,16704,1107,0.5999277195518612,0.758337140246688,0.5999277195518612,0.9693030812975106,0.6698950766747377,,
"latin",2088,608,14126,3178,0.3965058868211166,0.7744807121661721,0.3965058868211166,0.9587348988733542,0.5244913338357196,,
"country",841,246,17788,1125,0.42777212614445576,0.7736890524379025,0.42777212614445576,0.9863590994787623,0.5509335080248936,,
"gospel",2173,185,17543,99,0.9564260563380281,0.9215436810856659,0.9564260563380281,0.9895645306859205,0.9386609071274299,,
"hip-hop",853,48,19075,24,0.9726339794754846,0.946725860155383,0.9726339794754846,0.9974899335878262,0.9595050618672666,,
"blues",507,38,19426,29,0.9458955223880597,0.9302752293577982,0.9458955223880597,0.9980476777640773,0.9380203515263644,,
"classical",73,269,19618,40,0.6460176991150443,0.2134502923976608,0.6460176991150443,0.9864735757027203,0.3208791208791209,,
"ambient",668,59,19141,132,0.835,0.9188445667125172,0.835,0.9969270833333334,0.8749181401440733,,
"punk",147,396,19324,133,0.525,0.27071823204419887,0.525,0.9799188640973631,0.35722964763061965,,
"k-pop",1147,303,18284,266,0.8117480537862704,0.7910344827586206,0.8117480537862704,0.9836982837467046,0.8012574222843171,,
"folk",469,800,18095,636,0.4244343891402715,0.36958234830575254,0.4244343891402715,0.957660756813972,0.3951137320977253,,
"metal",891,35,19064,10,0.9889012208657048,0.9622030237580994,0.9889012208657048,0.9981674433216399,0.9753694581280787,,
"pop",20,726,19235,19,0.5128205128205128,0.02680965147453083,0.5128205128205128,0.9636290766995641,0.050955414012738856,,
"reggae",293,80,19599,28,0.9127725856697819,0.7855227882037533,0.9127725856697819,0.9959347527821536,0.8443804034582132,,
"electronic",208,510,19084,198,0.5123152709359606,0.28969359331476324,0.5123152709359606,0.9739716239665204,0.3701067615658363,,
"soul",499,427,18926,148,0.7712519319938176,0.5388768898488121,0.7712519319938176,0.9779362372758745,0.6344564526382709,,
"r&b",139,236,19575,50,0.7354497354497355,0.37066666666666664,0.7354497354497355,0.9880874261773762,0.49290780141843976,,
"jazz",23,532,19366,79,0.22549019607843138,0.04144144144144144,0.22549019607843138,0.9732636445873957,0.07001522070015222,,
"drum-and-bass",0,912,19088,0,,0,,0.9544,,,
"indie",0,362,19638,0,,0,,0.9819,,,
"Overall",,,,,,,,,,0.63495,0.5998844065447677
