"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1708,481,17003,808,0.6788553259141494,0.7802649611694837,0.6788553259141494,0.9724891329215283,0.7260361317747076,,
"latin",192,554,18998,256,0.42857142857142855,0.257372654155496,0.42857142857142855,0.9716653027823241,0.32160804020100503,,
"country",754,333,18224,689,0.5225225225225225,0.6936522539098436,0.5225225225225225,0.982055289109231,0.5960474308300396,,
"gospel",2228,130,17513,129,0.945269410267289,0.9448685326547922,0.945269410267289,0.9926316386102136,0.9450689289501591,,
"hip-hop",144,198,19550,108,0.5714285714285714,0.42105263157894735,0.5714285714285714,0.9899736682195666,0.48484848484848486,,
"blues",861,40,19072,27,0.9695945945945946,0.9556048834628191,0.9695945945945946,0.9979070740895772,0.9625489100055897,,
"classical",511,34,19425,30,0.944547134935305,0.9376146788990826,0.944547134935305,0.9982527365229457,0.9410681399631676,,
"ambient",190,185,19539,86,0.6884057971014492,0.5066666666666667,0.6884057971014492,0.9906205637801663,0.5837173579109063,,
"punk",156,756,18892,196,0.4431818181818182,0.17105263157894737,0.4431818181818182,0.9615228013029316,0.2468354430379747,,
"k-pop",681,46,19155,118,0.8523153942428036,0.936726272352132,0.8523153942428036,0.997604291443154,0.8925294888597641,,
"folk",659,267,18877,197,0.7698598130841121,0.7116630669546437,0.7698598130841121,0.9860530714584204,0.739618406285073,,
"metal",59,303,19570,68,0.4645669291338583,0.16298342541436464,0.4645669291338583,0.9847531827102098,0.24130879345603268,,
"pop",1878,818,15352,1952,0.49033942558746735,0.6965875370919882,0.49033942558746735,0.9494124922696351,0.5755439779344163,,
"reggae",214,329,19222,235,0.4766146993318486,0.39410681399631675,0.4766146993318486,0.983172216254923,0.4314516129032258,,
"electronic",1266,184,18219,331,0.7927363807138385,0.8731034482758621,0.7927363807138385,0.9900016301689942,0.8309812930751559,,
"soul",538,731,18063,668,0.4461028192371476,0.4239558707643814,0.4461028192371476,0.9611046078535703,0.43474747474747477,,
"r&b",891,35,19064,10,0.9889012208657048,0.9622030237580994,0.9889012208657048,0.9981674433216399,0.9753694581280787,,
"jazz",304,69,19595,32,0.9047619047619048,0.8150134048257373,0.9047619047619048,0.9964910496338486,0.8575458392101551,,
"drum-and-bass",87,468,19252,193,0.3107142857142857,0.15675675675675677,0.3107142857142857,0.9762677484787018,0.20838323353293414,,
"indie",302,416,19038,244,0.5531135531135531,0.4206128133704735,0.5531135531135531,0.9786162228847538,0.4778481012658228,,
"Overall",,,,,,,,,,0.68115,0.6535031403037019
