"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1698,491,17045,766,0.6891233766233766,0.7756966651439013,0.6891233766233766,0.9720004562043796,0.7298517085751128,,
"latin",204,542,18992,262,0.43776824034334766,0.2734584450402145,0.43776824034334766,0.9722535067062558,0.33663366336633666,,
"country",737,350,18273,640,0.5352214960058097,0.6780128794848206,0.5352214960058097,0.9812060355474413,0.5982142857142857,,
"gospel",69,293,19552,86,0.44516129032258067,0.19060773480662985,0.44516129032258067,0.9852355757117662,0.26692456479690524,,
"hip-hop",2217,141,17524,118,0.9494646680942184,0.9402035623409669,0.9494646680942184,0.9920181149165016,0.9448114212657148,,
"blues",154,188,19522,136,0.5310344827586206,0.4502923976608187,0.5310344827586206,0.9904616945712836,0.4873417721518987,,
"classical",866,35,19076,23,0.9741282339707537,0.9611542730299667,0.9741282339707537,0.9981685940034535,0.9675977653631285,,
"ambient",518,27,19427,28,0.9487179487179487,0.9504587155963303,0.9487179487179487,0.9986121106199239,0.9495875343721357,,
"punk",208,167,19535,90,0.697986577181208,0.5546666666666666,0.697986577181208,0.9915237031773424,0.6181277860326894,,
"k-pop",144,768,18903,185,0.4376899696048632,0.15789473684210525,0.4376899696048632,0.9609577550709166,0.2320709105560032,,
"folk",674,53,19174,99,0.871927554980595,0.9270976616231087,0.871927554980595,0.9972434597181048,0.8986666666666667,,
"metal",654,272,18895,179,0.7851140456182473,0.7062634989200864,0.7851140456182473,0.9858089424531747,0.7436043206367254,,
"pop",1920,776,15308,1996,0.4902962206332993,0.712166172106825,0.4902962206332993,0.9517532952001989,0.5807622504537205,,
"reggae",215,328,19230,227,0.48642533936651583,0.39594843462246776,0.48642533936651583,0.9832293690561407,0.4365482233502538,,
"electronic",1257,193,18279,271,0.8226439790575916,0.8668965517241379,0.8226439790575916,0.9895517540060632,0.8441907320349227,,
"soul",91,464,19216,229,0.284375,0.16396396396396395,0.284375,0.9764227642276423,0.208,,
"r&b",549,720,18052,679,0.44706840390879476,0.4326241134751773,0.44706840390879476,0.9616450031962497,0.43972767320784945,,
"jazz",309,409,19023,259,0.5440140845070423,0.43036211699164345,0.5440140845070423,0.9789522437216962,0.48055987558320373,,
"drum-and-bass",894,32,19065,9,0.9900332225913622,0.9654427645788337,0.9900332225913622,0.9983243441378227,0.9775833788955713,,
"indie",310,63,19597,30,0.9117647058823529,0.8310991957104558,0.9117647058823529,0.9967955239064089,0.8695652173913043,,
"Overall",,,,,,,,,,0.6844,0.6570842457437192
