"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specificity","F-measure","Accuracy","Cohen's kappa"
"rock",1652,537,16241,1570,0.5127250155183116,0.754682503426222,0.5127250155183116,0.9679938014066038,0.610608020698577,,
"latin",2144,552,13548,3756,0.36338983050847457,0.7952522255192879,0.36338983050847457,0.9608510638297872,0.4988366682177757,,
"country",891,196,17323,1590,0.3591293833131802,0.8196872125114996,0.3591293833131802,0.9888121468120327,0.49943946188340815,,
"gospel",2151,207,17544,98,0.9564250778123611,0.9122137404580153,0.9564250778123611,0.9883386851444989,0.9337963967874973,,
"hip-hop",840,61,19071,28,0.967741935483871,0.9322974472807991,0.967741935483871,0.9968116245034497,0.9496890898812889,,
"blues",491,54,19421,34,0.9352380952380952,0.9009174311926605,0.9352380952380952,0.9972272143774069,0.9177570093457944,,
"classical",413,513,18933,141,0.7454873646209387,0.44600431965442766,0.7454873646209387,0.9736192533168775,0.5581081081081082,,
"ambient",662,65,19111,162,0.8033980582524272,0.9105914718019257,0.8033980582524272,0.9966103462661661,0.8536428110896195,,
"punk",1121,329,18262,288,0.7955997161107168,0.7731034482758621,0.7955997161107168,0.982303265020709,0.7841902763203917,,
"k-pop",894,32,19048,26,0.9717391304347827,0.9654427645788337,0.9717391304347827,0.9983228511530399,0.9685807150595883,,
"folk",264,109,19607,20,0.9295774647887324,0.707774798927614,0.9295774647887324,0.9944714952322986,0.8036529680365297,,
"metal",306,963,18410,321,0.4880382775119617,0.24113475177304963,0.4880382775119617,0.9502916430083105,0.3227848101265823,,
"pop",66,309,19611,14,0.825,0.176,0.825,0.9844879518072289,0.29010989010989013,,
"reggae",28,515,19446,11,0.717948717948718,0.05156537753222836,0.717948717948718,0.9741996893943189,0.09621993127147767,,
"electronic",11,707,19277,5,0.6875,0.01532033426183844,0.6875,0.9646216973578863,0.02997275204359673,,
"soul",2,340,19658,0,1,0.005847953216374269,1,0.982998299829983,0.011627906976744186,,
"r&b",0,912,19088,0,,0,,0.9544,,,
"jazz",0,746,19254,0,,0,,0.9627,,,
"drum-and-bass",0,555,19445,0,,0,,0.97225,,,
"indie",0,362,19638,0,,0,,0.9819,,,
"Overall",,,,,,,,,,0.5968,0.5557030839743154
